Category,ReleaseNumber,ReleaseTitle,TrackTitle,ReleaseDate
Single,1st,ぐるぐるカーテン,ぐるぐるカーテン,2012/2/22
Single,1st,ぐるぐるカーテン,乃木坂の詩,2012/2/22
Single,1st,ぐるぐるカーテン,会いたかったかもしれない,2012/2/22
Single,1st,ぐるぐるカーテン,失いたくないから,2012/2/22
Single,1st,ぐるぐるカーテン,左胸の勇気,2012/2/22
Single,2nd,おいでシャンプー,おいでシャンプー,2012/5/2
Single,2nd,おいでシャンプー,偶然を言い訳にして,2012/5/2
Single,2nd,おいでシャンプー,心の薬,2012/5/2
Single,2nd,おいでシャンプー,水玉模様,2012/5/2
Single,2nd,おいでシャンプー,狼に口笛を,2012/5/2
Single,3rd,走れ!Bicycle,せっかちなかたつむり,2012/8/22
Single,3rd,走れ!Bicycle,人はなぜ走るのか?,2012/8/22
Single,3rd,走れ!Bicycle,海流の島よ,2012/8/22
Single,3rd,走れ!Bicycle,走れ!Bicycle,2012/8/22
Single,3rd,走れ!Bicycle,音が出ないギター,2012/8/22
Single,4th,制服のマネキン,ここじゃないどこか,2012/12/19
Single,4th,制服のマネキン,制服のマネキン,2012/12/19
Single,4th,制服のマネキン,指望遠鏡,2012/12/19
Single,5th,君の名は希望,サイコキネシスの可能性,2013/3/13
Single,5th,君の名は希望,シャキイズム,2013/3/13
Single,5th,君の名は希望,君の名は希望,2013/3/13
Single,6th,ガールズルール,ガールズルール,2013/7/3
Single,6th,ガールズルール,世界で一番 孤独なLover,2013/7/3
Single,6th,ガールズルール,他の星から,2013/7/3
Single,6th,ガールズルール,扇風機,2013/7/3
Single,7th,バレッタ,そんなバカな・・・,2013/11/27
Single,7th,バレッタ,バレッタ,2013/11/27
Single,7th,バレッタ,月の大きさ,2013/11/27
Single,7th,バレッタ,私のために 誰かのために,2013/11/27
Single,8th,気づいたら片想い,ダンケシェーン,2014/4/2
Single,8th,気づいたら片想い,ロマンスのスタート,2014/4/2
Single,8th,気づいたら片想い,吐息のメソッド,2014/4/2
Single,8th,気づいたら片想い,孤独兄弟,2014/4/2
Single,8th,気づいたら片想い,気づいたら片想い,2014/4/2
Single,8th,気づいたら片想い,生まれたままで,2014/4/2
Single,9th,夏のFree&Easy,ここにいる理由,2014/7/9
Single,9th,夏のFree&Easy,その先の出口,2014/7/9
Single,9th,夏のFree&Easy,何もできずにそばにいる,2014/7/9
Single,9th,夏のFree&Easy,僕が行かなきゃ誰が行くんだ?,2014/7/9
Single,9th,夏のFree&Easy,夏のFree&Easy,2014/7/9
Single,9th,夏のFree&Easy,無口なライオン,2014/7/9
Single,10th,何度目の青空か?,Tender days,2014/10/8
Single,10th,何度目の青空か?,あの日 僕は咄嗟に嘘をついた,2014/10/8
Single,10th,何度目の青空か?,何度目の青空か?,2014/10/8
Single,10th,何度目の青空か?,私、起きる。,2014/10/8
Single,10th,何度目の青空か?,遠回りの愛情,2014/10/8
Album-only,,透明な色 (1st Album),OVERTURE,2015/1/7
Album-only,,透明な色 (1st Album),あなたのために弾きたい,2015/1/7
Album-only,,透明な色 (1st Album),なぞの落書き,2015/1/7
Album-only,,透明な色 (1st Album),ひとりよがり,2015/1/7
Album-only,,透明な色 (1st Album),傾斜する,2015/1/7
Album-only,,透明な色 (1st Album),僕がいる場所,2015/1/7
Album-only,,透明な色 (1st Album),自由の彼方,2015/1/7
Album-only,,透明な色 (1st Album),誰かは味方,2015/1/7
Album-only,,透明な色 (1st Album),革命の馬,2015/1/7
Single,11th,命は美しい,あらかじめ語られるロマンス,2015/3/18
Single,11th,命は美しい,ごめんね ずっと…,2015/3/18
Single,11th,命は美しい,ボーダー,2015/3/18
Single,11th,命は美しい,君は僕と会わない方がよかったのかな,2015/3/18
Single,11th,命は美しい,命は美しい,2015/3/18
Single,12th,太陽ノック,もう少しの夢,2015/7/22
Single,12th,太陽ノック,別れ際、もっと好きになる,2015/7/22
Single,12th,太陽ノック,制服を脱いでサヨナラを…,2015/7/22
Single,12th,太陽ノック,太陽ノック,2015/7/22
Single,12th,太陽ノック,無表情,2015/7/22
Single,12th,太陽ノック,羽根の記憶,2015/7/22
Single,12th,太陽ノック,魚たちのLOVE SONG,2015/7/22
Single,13th,今、話したい誰かがいる,ポピパッパパー,2015/10/28
Single,13th,今、話したい誰かがいる,今、話したい誰かがいる,2015/10/28
Single,13th,今、話したい誰かがいる,嫉妬の権利,2015/10/28
Single,13th,今、話したい誰かがいる,悲しみの忘れ方,2015/10/28
Single,13th,今、話したい誰かがいる,隙間,2015/10/28
Single,14th,ハルジオンが咲く頃,はるかなるブータン,2016/3/23
Single,14th,ハルジオンが咲く頃,ハルジオンが咲く頃,2016/3/23
Single,14th,ハルジオンが咲く頃,不等号,2016/3/23
Single,14th,ハルジオンが咲く頃,強がる蕾,2016/3/23
Single,14th,ハルジオンが咲く頃,急斜面,2016/3/23
Single,14th,ハルジオンが咲く頃,憂鬱と風船ガム,2016/3/23
Single,14th,ハルジオンが咲く頃,釣り堀,2016/3/23
Album-only,,それぞれの椅子 (2nd Album),きっかけ,2016/5/25
Album-only,,それぞれの椅子 (2nd Album),光合成希望,2016/5/25
Album-only,,それぞれの椅子 (2nd Album),太陽に口説かれて,2016/5/25
Album-only,,それぞれの椅子 (2nd Album),欲望のリインカーネーション,2016/5/25
Album-only,,それぞれの椅子 (2nd Album),空気感,2016/5/25
Single,15th,裸足でSummer,シークレットグラフィティー,2016/7/27
Single,15th,裸足でSummer,僕だけの光,2016/7/27
Single,15th,裸足でSummer,白米様,2016/7/27
Single,15th,裸足でSummer,行くあてのない僕たち,2016/7/27
Single,15th,裸足でSummer,裸足でSummer,2016/7/27
Single,16th,サヨナラの意味,2度目のキスから,2016/11/9
Single,16th,サヨナラの意味,あの教室,2016/11/9
Single,16th,サヨナラの意味,ないものねだり,2016/11/9
Single,16th,サヨナラの意味,サヨナラの意味,2016/11/9
Single,16th,サヨナラの意味,ブランコ,2016/11/9
Single,16th,サヨナラの意味,君に贈る花がない,2016/11/9
Single,16th,サヨナラの意味,孤独な青空,2016/11/9
Single,17th,インフルエンサー,Another Ghost,2017/3/22
Single,17th,インフルエンサー,インフルエンサー,2017/3/22
Single,17th,インフルエンサー,三番目の風,2017/3/22
Single,17th,インフルエンサー,人生を考えたくなる,2017/3/22
Single,17th,インフルエンサー,当たり障りのない話,2017/3/22
Single,17th,インフルエンサー,意外BREAK,2017/3/22
Single,17th,インフルエンサー,風船は生きている,2017/3/22
Album-only,,生まれてから初めて見た夢 (3rd Album),Rewindあの日,2017/5/24
Album-only,,生まれてから初めて見た夢 (3rd Album),ごめんね、スムージー,2017/5/24
Album-only,,生まれてから初めて見た夢 (3rd Album),スカイダイビング,2017/5/24
Album-only,,生まれてから初めて見た夢 (3rd Album),君が扇いでくれた,2017/5/24
Album-only,,生まれてから初めて見た夢 (3rd Album),忘却と美学,2017/5/24
Album-only,,生まれてから初めて見た夢 (3rd Album),思い出ファースト,2017/5/24
Album-only,,生まれてから初めて見た夢 (3rd Album),流星ディスコティック,2017/5/24
Album-only,,生まれてから初めて見た夢 (3rd Album),設定温度,2017/5/24
Album-only,,生まれてから初めて見た夢 (3rd Album),醜い私,2017/5/24
Single,18th,逃げ水,ひと夏の長さより…,2017/8/9
Single,18th,逃げ水,アンダー,2017/8/9
Single,18th,逃げ水,ライブ神,2017/8/9
Single,18th,逃げ水,女は一人じゃ眠れない,2017/8/9
Single,18th,逃げ水,未来の答え,2017/8/9
Single,18th,逃げ水,泣いたっていいじゃないか？,2017/8/9
Single,18th,逃げ水,逃げ水,2017/8/9
Single,19th,いつかできるから今日できる,My rule,2017/10/11
Single,19th,いつかできるから今日できる,いつかできるから今日できる,2017/10/11
Single,19th,いつかできるから今日できる,まあいいか?,2017/10/11
Single,19th,いつかできるから今日できる,不眠症,2017/10/11
Single,19th,いつかできるから今日できる,僕の衝動,2017/10/11
Single,19th,いつかできるから今日できる,失恋お掃除人,2017/10/11
Single,19th,いつかできるから今日できる,新しい花粉 ～ミュージカル「見知らぬ世界」より～,2017/10/11
Single,20th,シンクロニシティ,Against,2018/4/25
Single,20th,シンクロニシティ,シンクロニシティ,2018/4/25
Single,20th,シンクロニシティ,スカウトマン,2018/4/25
Single,20th,シンクロニシティ,トキトキメキメキ,2018/4/25
Single,20th,シンクロニシティ,新しい世界,2018/4/25
Single,20th,シンクロニシティ,言霊砲,2018/4/25
Single,20th,シンクロニシティ,雲になればいい,2018/4/25
Single,21st,ジコチューで行こう!,あんなに好きだったのに…,2018/8/8
Single,21st,ジコチューで行こう!,ジコチューで行こう!,2018/8/8
Single,21st,ジコチューで行こう!,三角の空き地,2018/8/8
Single,21st,ジコチューで行こう!,地球が丸いなら,2018/8/8
Single,21st,ジコチューで行こう!,心のモノローグ,2018/8/8
Single,21st,ジコチューで行こう!,空扉,2018/8/8
Single,21st,ジコチューで行こう!,自分じゃない感じ,2018/8/8
Single,22nd,帰り道は遠回りしたくなる,つづく,2018/11/14
Single,22nd,帰り道は遠回りしたくなる,キャラバンは眠らない,2018/11/14
Single,22nd,帰り道は遠回りしたくなる,ショパンの嘘つき,2018/11/14
Single,22nd,帰り道は遠回りしたくなる,告白の順番,2018/11/14
Single,22nd,帰り道は遠回りしたくなる,帰り道は遠回りしたくなる,2018/11/14
Single,22nd,帰り道は遠回りしたくなる,日常,2018/11/14
